,PP,PGP,CRUDE
2015-02-01,0.05434827737616388,0.05434827737616388,0.06936442578743707
2015-03-01,0.009261959322754976,0.009261959322754976,-0.05825708801415752
2015-04-01,0.057075354539335876,0.057075354539335876,0.13239171835131547
2015-05-01,-0.022283236767059122,-0.022283236767059122,0.08327441294452065
2015-06-01,-0.03971963435596493,-0.03971963435596493,0.007661684236978772
2015-07-01,-0.06844629070181085,-0.06844629070181085,-0.16103227435898848
2015-08-01,-0.020159801285764445,-0.020159801285764445,-0.17183564819757446
2015-09-01,-0.05184325937388223,-0.05184325937388223,0.05833154524335482
2015-10-01,-0.045281150650620106,-0.045281150650620106,0.01796809389907139
2015-11-01,-0.10488477010801667,-0.10488477010801667,-0.07550831824819859
2015-12-01,-0.040012478832014864,-0.040012478832014864,-0.13968358811040327
2016-01-01,-0.043531933717929405,-0.043531933717929405,-0.16101956593317812
2016-02-01,0.03454114235946015,0.03454114235946015,-0.03716558294159311
2016-03-01,0.14959611453560484,0.14959611453560484,0.2150178421827369
2016-04-01,-0.027665681005776932,-0.027665681005776932,0.08005349690391483
2016-05-01,-0.04687752981332771,-0.04687752981332771,0.1292015565678164
2016-06-01,0.10276952328422162,0.10276952328422162,0.043007532850423136
2016-07-01,0.11508096503144039,0.11508096503144039,-0.08662253569772727
2016-08-01,-0.005950885521025739,-0.005950885521025739,-8.234266891893327e-06
2016-09-01,-0.021463824562445666,-0.021463824562445666,0.009477089233823843
2016-10-01,0.024458645764005027,0.024458645764005027,0.09774376585847522
2016-11-01,0.03568817874298347,0.03568817874298347,-0.08333671436010759
2016-12-01,0.03493210695927296,0.03493210695927296,0.12835259968462465
2017-01-01,-0.0002675346696303649,-0.0002675346696303649,0.00845222012807767
2017-02-01,0.021796268355013027,0.021796268355013027,0.016095398120227866
2017-03-01,-0.04521316095163819,-0.04521316095163819,-0.07349318622275414
2017-04-01,-0.08100756468979142,-0.08100756468979142,0.028644431416460225
2017-05-01,-0.023472008112136677,-0.023472008112136677,-0.051745499543750295
2017-06-01,-0.016640169330180754,-0.016640169330180754,-0.07137225709271933
2017-07-01,0.016190288287614152,0.016190288287614152,0.03220211264257422
2017-08-01,0.11087499443675064,0.11087499443675064,0.02919628967417287
2017-09-01,-0.0010783813974271084,-0.0010783813974271084,0.037154984475489705
2017-10-01,-0.016923106352898287,-0.016923106352898287,0.03385599523903293
2017-11-01,0.0172070036975267,0.0172070036975267,0.09370295711507559
2017-12-01,0.03269916759164104,0.03269916759164104,0.022409874390130646
2018-01-01,0.02340526595546777,0.02340526595546777,0.09401266578545364
2018-02-01,-0.04861037248578981,-0.04861037248578981,-0.023448809251875424
2018-03-01,0.0032628291773129092,0.0032628291773129092,0.00941494413984767
2018-04-01,0.014818059168895559,0.014818059168895559,0.05506288651279423
2018-05-01,0.051561647159626744,0.051561647159626744,0.05368445606669425
2018-06-01,0.013287063927684528,0.013287063927684528,-0.03875513836646327
2018-07-01,-0.03523210122242837,-0.03523210122242837,0.04727400774828183
2018-08-01,0.06004930419047305,0.06004930419047305,-0.039544908847992666
2018-09-01,0.02879816059286,0.02879816059286,0.032476140175409896
2018-10-01,0.013257515612011161,0.013257515612011161,0.009558104206687013
2018-11-01,0.003075547001529344,0.003075547001529344,-0.22160652919676593
2018-12-01,-0.04087035509672354,-0.04087035509672354,-0.1503901570836006
2019-01-01,-0.059540219262805394,-0.059540219262805394,0.05529498875442895
2019-02-01,-0.017493367123453396,-0.017493367123453396,0.06441760013187015
2019-03-01,-0.018953887171733186,-0.018953887171733186,0.05635796237136148
2019-04-01,-0.014471838607230225,-0.014471838607230225,0.09352767058907752
2019-05-01,-0.03381522482957777,-0.03381522482957777,-0.048198919468651624
2019-06-01,-0.033366899319879906,-0.033366899319879906,-0.1066832259484709
2019-07-01,0.030277778719145942,0.030277778719145942,0.05060841357138379
2019-08-01,0.0059946635112577695,0.0059946635112577695,-0.04809650787305131
2019-09-01,0.0016987333160880524,0.0016987333160880524,0.0379777104343173
2019-10-01,-0.012433019509153098,-0.012433019509153098,-0.05338343496918041
2019-11-01,-0.031851818943575694,-0.031851818943575694,0.05518986790932923
2019-12-01,-0.029732235384955175,-0.029732235384955175,0.04680670363016137
2020-01-01,-0.06076966202635781,-0.06076966202635781,-0.038803562503769484
2020-02-01,-0.13158257217896896,-0.13158257217896896,-0.12947497530125185
2020-03-01,-0.0007866392757094332,-0.0007866392757094332,-0.5068700430002333
2020-04-01,0.08537876580967385,0.08537876580967385,-0.6005850161236697
2020-05-01,0.030845973963433693,0.030845973963433693,0.5355168404027957
2020-06-01,0.02505336354766108,0.02505336354766108,0.294937333414532
2020-07-01,0.004784541324504232,0.004784541324504232,0.06204030678474126
2020-08-01,0.013121331482661702,0.013121331482661702,0.03902137436740505
2020-09-01,0.031225240800266008,0.031225240800266008,-0.06738929470097377
2020-10-01,0.008625709357868772,0.008625709357868772,-0.001797639433899878
2020-11-01,0.04137448976445057,0.04137448976445057,0.0443071707721705
2020-12-01,-0.008046710502956245,-0.008046710502956245,0.12960943591601382
2021-01-01,-0.009527927950081505,-0.009527927950081505,0.10160814227516068
2021-02-01,0.08179628088778479,0.08179628088778479,0.12536633672435116
2021-03-01,0.021991642987940097,0.021991642987940097,0.054310512220699714
2021-04-01,-0.048938915714368036,-0.048938915714368036,-0.010536534691189203
2021-05-01,-0.014777185954217842,-0.014777185954217842,0.054454062124102975
2021-06-01,-0.016665537010714715,-0.016665537010714715,0.0908358490959369
2021-07-01,0.012082518779166662,0.012082518779166662,0.01499157043717414
2021-08-01,-0.017485869420639233,-0.017485869420639233,-0.06737314629464475
2021-09-01,0.08946261581478687,0.08946261581478687,0.05506928406820144
2021-10-01,-4.3507581203527934e-05,-4.3507581203527934e-05,0.1268734080458982
2021-11-01,-0.09349534658053749,-0.09349534658053749,-0.032140641958481986
2021-12-01,-0.027669390406773076,-0.027669390406773076,-0.09270478442369168
2022-01-01,0.0285945564803729,0.0285945564803729,0.1462362871057774
2022-02-01,0.0156863640255267,0.0156863640255267,0.09915967008838322
2022-03-01,0.03845464517982755,0.03845464517982755,0.1668085862323947
2022-04-01,-0.016956562499258254,-0.016956562499258254,-0.06311374835072314
2022-05-01,0.0013269724862716714,0.0013269724862716714,0.07228392384491045
2022-06-01,-0.019629274392285012,-0.019629274392285012,0.04544214409181624
2022-07-01,-0.06552802366726773,-0.06552802366726773,-0.14017197746599752
2022-08-01,-0.005993823509363949,-0.005993823509363949,-0.08284727868864206
2022-09-01,0.026834547983755286,0.026834547983755286,-0.08769314525119576
2022-10-01,-0.031720063508576146,-0.031720063508576146,0.037808091370709285
2022-11-01,-0.01737012423638795,-0.01737012423638795,-0.030865702008333606
2022-12-01,6.429834434129589e-05,6.429834434129589e-05,-0.09787087848976128
2023-01-01,0.013602176575291836,0.013602176575291836,0.021281937384871163
2023-02-01,-0.006043852096636826,-0.006043852096636826,-0.016816761032798944
2023-03-01,-0.02565983407488659,-0.02565983407488659,-0.046441730264697334
2023-04-01,-0.009287462998772256,-0.009287462998772256,0.0794314535337266
2023-05-01,-0.06517310603459414,-0.06517310603459414,-0.10359508976473641
2023-06-01,-0.002648446910647806,-0.002648446910647806,-0.018981111201067158
2023-07-01,0.02339381976716126,0.02339381976716126,0.07878123237257473
2023-08-01,0.04843086452348544,0.04843086452348544,0.0672155032019548
2023-09-01,0.0394902759127298,0.0394902759127298,0.09505910320653488
2023-10-01,-0.04331500278829914,-0.04331500278829914,-0.04533357620142642
2023-11-01,-0.0012891924500131324,-0.0012891924500131324,-0.09944293360702972
2023-12-01,-0.010373812940910554,-0.010373812940910554,-0.07030534960902735
2024-01-01,-0.026209470994771777,-0.026209470994771777,0.02380437177949979
2024-02-01,0.012072581234269464,0.012072581234269464,0.03654331950563261
2024-03-01,0.010520733673672567,0.010520733673672567,0.04834874284076385
2024-04-01,0.016566694050263564,0.016566694050263564,0.04842102699129036
2024-05-01,0.00329381061956191,0.00329381061956191,-0.07085391709217959
2024-06-01,0.007926411418884172,0.007926411418884172,0.0009796229595453454
2024-07-01,-0.004741747631046067,-0.004741747631046067,0.022402557024562952
2024-08-01,-0.008294705402825286,-0.008294705402825286,-0.06477236593446456
2024-09-01,-0.015716983923699246,-0.015716983923699246,-0.08376275862302762
2024-10-01,0.005518068217853056,0.005518068217853056,0.0310700233875707
2024-11-01,-0.00602855332411778,-0.00602855332411778,-0.028600907268359954
2024-12-01,-0.004066305135745907,-0.004066305135745907,0.002206514418007899
2025-01-01,-0.012394693137284918,-0.012394693137284918,0.07462903567225254
2025-02-01,0.002966703510924873,0.002966703510924873,-0.05317671718055372
2025-03-01,-0.007553396474179408,-0.007553396474179408,-0.047000509941582
